,ASPLOS,ATC,CCGRID,CCS,CIDR,CoNEXT,EuroPar,EuroSys,FAST,HCW,HotCloud,HotI,HotOS,HotStorage,HPCA,HPDC,ICAC,ICPE,IMC,ISC,ISCA,ISPASS,KDD,MASCOTS,MICRO,Middleware,MobiCom,NDSS,PLDI,PODC,PODS,PPoPP,SC,SIGCOMM,SIGIR,SIGMETRICS,SIGMOD,SLE,SOCC,SOSP,SP,SPAA,SYSTOR,VEE
HPCA,,,,,,,,,,,,,,,,0.61289541492,0.542702966555,0.665561008899,0.461227149396,0.653659440809,0.845004625321,0.759014749515,0.489654785887,0.693076347269,0.838640615051,0.578944797906,0.53592034302,0.622850142807,0.54716676659,0.454743896008,0.380288699317,0.652577013661,0.722794086011,0.552973336723,0.408780888651,0.610398628984,0.605198261787,0.368291010822,0.67077425425,0.677061827707,0.558221244477,0.492375275369,0.612791691037,0.548473451694
HPDC,,,,,,,,,,,,,,,,,0.565336836359,0.668189376226,0.444910274519,0.650016889033,0.634347710308,0.596917487384,0.592368856968,0.619725574743,0.652702534244,0.606121904244,0.510242520493,0.556935074422,0.542023568984,0.511236017619,0.465477374874,0.633829584405,0.748012546062,0.503289733431,0.496436091984,0.606065864458,0.682198270706,0.392239140225,0.711183317964,0.647818370851,0.554566667534,0.585398315744,0.599936860729,0.458357311904
ICAC,,,,,,,,,,,,,,,,,,0.59894586856,0.416630151941,0.554284598717,0.539849097292,0.522316382392,0.511623858577,0.585640718684,0.548065933006,0.571262383287,0.504691501832,0.534464253316,0.494677741995,0.414824884828,0.372259147434,0.509252727656,0.602607033523,0.456264095859,0.45907069848,0.527838540516,0.552018423082,0.388936042026,0.612450574459,0.559838473448,0.532708217211,0.463692299027,0.502365884717,0.416882876114
ICPE,,,,,,,,,,,,,,,,,,,0.482393840725,0.653363815692,0.665889917926,0.673257658087,0.570713095501,0.676259430698,0.687025166339,0.65576762314,0.533231068703,0.599221984804,0.572093216517,0.465138519999,0.456305715807,0.610798124023,0.756499918371,0.516121117475,0.54855014902,0.617565791784,0.657437928598,0.434108511996,0.734293688472,0.676016556658,0.591120352906,0.504644825574,0.619269545349,0.525015843866
IMC,,,,,,,,,,,,,,,,,,,,0.420532687236,0.452938932999,0.409952027887,0.475451288325,0.448574032803,0.451900796774,0.46167379485,0.50178486788,0.59268504388,0.428779337637,0.376980093173,0.337127675988,0.406227143925,0.512754292551,0.63174953126,0.440507533744,0.477882817374,0.489421259199,0.344479221939,0.523163911932,0.502771122297,0.594036678422,0.383692752707,0.402798641343,0.344885695128
ISC,,,,,,,,,,,,,,,,,,,,,0.663985227713,0.657208346763,0.55387603039,0.618168956736,0.668229886505,0.565717686708,0.498267517872,0.567886873942,0.545305960437,0.485546057487,0.428037180605,0.655399332428,0.781208392115,0.481949200332,0.434205173192,0.559712516405,0.63860498447,0.385010642767,0.651945372871,0.606915527735,0.546923715041,0.531599266459,0.559218208759,0.473068177084
ISCA,,,,,,,,,,,,,,,,,,,,,,0.773543842242,0.499602556171,0.679039630871,0.86030628268,0.59711271351,0.523465183244,0.652410630908,0.601566166386,0.4494765733,0.398791258428,0.699369498437,0.730834251058,0.532593414359,0.418679809805,0.596312107642,0.629733454928,0.410252074614,0.685860845093,0.695353148709,0.584332205165,0.485399858591,0.605101526785,0.593130900177
ISPASS,,,,,,,,,,,,,,,,,,,,,,,0.462260064308,0.647997932079,0.777236324363,0.58576165015,0.477127972527,0.589071752092,0.578720448198,0.401734886078,0.348285562726,0.685090922435,0.71675570783,0.477151907972,0.407057537272,0.52928461515,0.562440604201,0.393274433461,0.64240284765,0.636386877106,0.534503379504,0.435128444001,0.592086099374,0.569710415093
KDD,,,,,,,,,,,,,,,,,,,,,,,,0.519932211893,0.524427136667,0.523562868289,0.490175849227,0.54613766452,0.555208015597,0.585197776922,0.588079537696,0.537590742592,0.642930010601,0.473179611121,0.703264041382,0.588196223273,0.719259275614,0.428239995626,0.596138513866,0.503851824794,0.573890561319,0.625327612448,0.445373920559,0.330437785856
MASCOTS,,,,,,,,,,,,,,,,,,,,,,,,,0.667827090936,0.598034795276,0.509393052211,0.57826674722,0.513417194389,0.463655383771,0.392595405059,0.582571994095,0.680007313441,0.519556582369,0.460614923283,0.614971199058,0.592938125787,0.37486681727,0.66435151491,0.623030222605,0.564316506533,0.50864096583,0.590851701034,0.488374689337
MICRO,,,,,,,,,,,,,,,,,,,,,,,,,,0.602451326154,0.54562397871,0.644934567117,0.609024458538,0.466580323962,0.407140138648,0.709636115907,0.756169938968,0.522645945513,0.458744305517,0.610999059637,0.638380685614,0.419500902239,0.689334680429,0.694578449664,0.584474916252,0.488946251342,0.624551725383,0.591937786027
Middleware,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52380815437,0.586967270866,0.545899061982,0.465741826112,0.427134904608,0.567882781455,0.663460533217,0.517536304317,0.491052977137,0.552032075173,0.615144764226,0.421329613575,0.696192967451,0.647757258332,0.572972547788,0.490381530195,0.574288133782,0.506029639692
MobiCom,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574386745292,0.454138398158,0.420755291022,0.355442180293,0.463540440731,0.582909456679,0.574692595389,0.451098308199,0.514133391018,0.523127487006,0.362467875061,0.566764616186,0.548335368021,0.544358413929,0.415502993229,0.467013419899,0.394462636679
NDSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652948195549,0.503817739804,0.466512103077,0.607172332988,0.65981409358,0.562098823578,0.514247919071,0.56314817005,0.637571832931,0.471876541324,0.638911042966,0.683782515355,0.83543342165,0.478844399883,0.523934087578,0.56553757682
PLDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532236102972,0.5739629853,0.685577231739,0.629791858669,0.468702683556,0.483189377928,0.532528939215,0.682334229846,0.635091739852,0.597579790591,0.596490443564,0.655876195696,0.524363574159,0.46002983861,0.463113327361
PODC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632155299878,0.541819195529,0.546752817103,0.437037346982,0.413228784752,0.556454063728,0.630694339888,0.389146012334,0.520509708669,0.523592191555,0.527195600927,0.732275494674,0.39292302576,0.327196544724
PODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460834441735,0.486148063505,0.371518844546,0.499373099817,0.517542450849,0.71619945207,0.405434255877,0.497233584309,0.451477223963,0.513716587673,0.63277499084,0.355031999031,0.265805123056
PPoPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732262731104,0.474051370207,0.435478343155,0.546191618917,0.66279971739,0.46230631202,0.655520116817,0.643705441106,0.577581869032,0.557289925704,0.568075905783,0.508849785977
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567042332466,0.550020799455,0.648831554456,0.722922399479,0.456959156591,0.764850386725,0.736423522708,0.638340768847,0.586354462718,0.664854624124,0.544807809408
SIGCOMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39057504191,0.52847536005,0.516293996922,0.346608657831,0.597700714921,0.578630841678,0.528197346371,0.45806890793,0.448585208958,0.380819228743
SIGIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47857038117,0.628749350428,0.410024246161,0.526987627737,0.477142405244,0.573719813276,0.426895122146,0.386604663019,0.298015802047
SIGMETRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639281773263,0.399982633209,0.642992016702,0.587234579861,0.570966538839,0.604821061213,0.511292109668,0.401292115844
SIGMOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473310660761,0.755266148544,0.670690552348,0.661294629677,0.681969016715,0.552918529815,0.437891178542
SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436643968478,0.422098913615,0.512925015941,0.355514619073,0.31473116801,0.307195907459
SOCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.760411414735,0.63247661452,0.577412242542,0.650206191373,0.580760043261
SOSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657608474038,0.505625093744,0.635234258241,0.607822608792
SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491780463764,0.497389587969,0.475438563486
SPAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443955767648,0.32383582402
SYSTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512707061159
VEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
